,frame,point,X,Y
0,0,0,419.85155618190765,185.9104299545288
1,0,1,422.50116741657257,231.86227798461914
2,0,2,414.37939167022705,309.27449226379395
3,0,3,444.1982967853546,307.43322372436523
4,1,0,426.2676272392273,185.36855220794678
5,1,1,427.24560928344727,232.25831508636475
6,1,2,418.12609684467316,308.6385440826416
7,1,3,450.7407925128937,306.89480781555176
8,2,0,435.16849279403687,185.61899185180664
9,2,1,434.2208790779114,232.51482009887695
10,2,2,424.86459016799927,308.13817977905273
11,2,3,455.16207575798035,306.5731430053711
12,3,0,443.35910511016846,186.85433864593506
13,3,1,439.73902773857117,232.8803014755249
14,3,2,430.28848528862,308.35338592529297
15,3,3,462.0618817806244,306.410551071167
16,4,0,451.452264547348,187.7693510055542
17,4,1,446.7463924884796,233.16813468933105
18,4,2,438.12986183166504,307.5654888153076
19,4,3,468.0888776779175,305.81823348999023
20,5,0,460.77818512916565,189.50310230255127
21,5,1,452.9433596134186,233.67223262786865
22,5,2,445.2709894180298,308.23808670043945
23,5,3,476.1429340839386,305.88955879211426
24,6,0,468.36610293388367,192.57177829742432
25,6,1,459.6737530231476,235.75708866119385
26,6,2,451.20814990997314,307.67303466796875
27,6,3,481.163001537323,305.21936416625977
28,7,0,475.02001690864563,194.27159786224365
29,7,1,466.7476944923401,237.69005298614502
30,7,2,458.0488951206207,307.0456123352051
31,7,3,488.71963691711426,304.6523666381836
32,8,0,482.9038989543915,197.11642742156982
33,8,1,473.04175901412964,238.95366668701172
34,8,2,465.09653091430664,305.81814765930176
35,8,3,494.79467368125916,303.2651424407959
36,9,0,491.87327098846436,199.8607349395752
37,9,1,479.5108730792999,239.73692893981934
38,9,2,471.4944977760315,305.41528701782227
39,9,3,502.02462100982666,302.82288551330566
40,10,0,500.3856453895569,202.56829261779785
41,10,1,486.2879362106323,242.90863037109375
42,10,2,479.49543499946594,304.7826290130615
43,10,3,506.846431016922,301.87889099121094
44,11,0,506.9967999458313,204.72830772399902
45,11,1,493.08414459228516,244.9830722808838
46,11,2,485.58438634872437,303.969783782959
47,11,3,514.3069846630096,301.44556045532227
48,12,0,513.623291015625,206.7416524887085
49,12,1,498.24975657463074,245.5810260772705
50,12,2,492.3923764228821,303.07820320129395
51,12,3,519.7106173038483,300.45948028564453
52,13,0,519.9437627792358,208.30507278442383
53,13,1,503.7173252105713,246.19182586669922
54,13,2,498.6284465789795,302.32964515686035
55,13,3,527.1375017166138,299.6854305267334
56,14,0,527.9466805458069,208.63377571105957
57,14,1,509.0633189678192,247.17796325683594
58,14,2,505.42810821533203,301.93202018737793
59,14,3,532.480194568634,299.06710624694824
60,15,0,533.2596652507782,208.29852104187012
61,15,1,515.3323981761932,246.58933639526367
62,15,2,510.61768984794617,301.12778663635254
63,15,3,538.7686729431152,298.48620414733887
64,16,0,538.4620950222015,207.13448524475098
65,16,1,520.5077605247498,246.1194133758545
66,16,2,518.6278188228607,300.34008979797363
67,16,3,545.4584398269653,297.3965263366699
68,17,0,544.2702662944794,205.12792110443115
69,17,1,526.7172203063965,243.79314422607422
70,17,2,526.1157953739166,299.7620487213135
71,17,3,553.2803664207458,296.21203422546387
72,18,0,547.4092748165131,203.3534860610962
73,18,1,531.7812151908875,242.82943725585938
74,18,2,533.0750176906586,299.225435256958
75,18,3,559.7742118835449,295.41226387023926
76,19,0,553.0029380321503,200.45428276062012
77,19,1,535.6114332675934,241.36837005615234
78,19,2,540.6999564170837,298.6732006072998
79,19,3,568.2215838432312,294.5244598388672
