,frame,point,X,Y
0,0,0,419.851606965065,-185.91041564941406
1,0,1,422.50116741657257,-231.86227798461914
2,0,2,414.3794170618057,-309.27454948425293
3,0,3,444.19834756851196,-307.4333095550537
4,1,0,426.26767802238464,-185.36855220794678
5,1,1,427.2456600666046,-232.25831508636475
6,1,2,418.12612223625183,-308.6385726928711
7,1,3,450.740843296051,-306.89489364624023
8,2,0,435.1685435771942,-185.61899185180664
9,2,1,434.2209298610687,-232.51482009887695
10,2,2,424.86461555957794,-308.1382369995117
11,2,3,455.1621265411377,-306.57322883605957
12,3,0,443.35910511016846,-186.85433864593506
13,3,1,439.7390785217285,-232.8803300857544
14,3,2,430.28848528862,-308.35338592529297
15,3,3,462.0618817806244,-306.41063690185547
16,4,0,451.452264547348,-187.76936531066895
17,4,1,446.7463924884796,-233.1681489944458
18,4,2,438.12986183166504,-307.5655174255371
19,4,3,468.0888776779175,-305.8182907104492
20,5,0,460.778235912323,-189.50311660766602
21,5,1,452.9433596134186,-233.6722469329834
22,5,2,445.2709894180298,-308.23811531066895
23,5,3,476.1430356502533,-305.88958740234375
24,6,0,468.366153717041,-192.57179260253906
25,6,1,459.67380380630493,-235.75708866119385
26,6,2,451.2082006931305,-307.67309188842773
27,6,3,481.16305232048035,-305.21942138671875
28,7,0,475.020067691803,-194.27159786224365
29,7,1,466.74774527549744,-237.69003868103027
30,7,2,458.0488951206207,-307.0456123352051
31,7,3,488.7196877002716,-304.6524238586426
32,8,0,482.9038989543915,-197.11644172668457
33,8,1,473.041809797287,-238.95366668701172
34,8,2,465.096581697464,-305.81817626953125
35,8,3,494.79477524757385,-303.2651996612549
36,9,0,491.873220205307,-199.86072063446045
37,9,1,479.5109746456146,-239.73694324493408
38,9,2,471.49444699287415,-305.41531562805176
39,9,3,502.02472257614136,-302.82294273376465
40,10,0,500.3856453895569,-202.56829261779785
41,10,1,486.2879869937897,-242.90863037109375
42,10,2,479.49543499946594,-304.782657623291
43,10,3,506.846431016922,-301.8789482116699
44,11,0,506.9967999458313,-204.72832202911377
45,11,1,493.0841953754425,-244.98310089111328
46,11,2,485.58438634872437,-303.969783782959
47,11,3,514.307035446167,-301.44564628601074
48,12,0,513.623291015625,-206.7416524887085
49,12,1,498.24985814094543,-245.5810546875
50,12,2,492.3923764228821,-303.07823181152344
51,12,3,519.7106680870056,-300.4595375061035
52,13,0,519.9437627792358,-208.30508708953857
53,13,1,503.7173252105713,-246.1918830871582
54,13,2,498.6284465789795,-302.32967376708984
55,13,3,527.1375524997711,-299.6854877471924
56,14,0,527.9466805458069,-208.63377571105957
57,14,1,509.0633189678192,-247.17799186706543
58,14,2,505.42810821533203,-301.93202018737793
59,14,3,532.480194568634,-299.0671634674072
60,15,0,533.2597160339355,-208.29852104187012
61,15,1,515.3324489593506,-246.58939361572266
62,15,2,510.61768984794617,-301.12781524658203
63,15,3,538.7686729431152,-298.48626136779785
64,16,0,538.4620950222015,-207.13447093963623
65,16,1,520.5078113079071,-246.11947059631348
66,16,2,518.6278188228607,-300.3401184082031
67,16,3,545.4584398269653,-297.3965835571289
68,17,0,544.2702662944794,-205.12792110443115
69,17,1,526.7172710895538,-243.7931728363037
70,17,2,526.115846157074,-299.7620487213135
71,17,3,553.2803664207458,-296.21214866638184
72,18,0,547.4092748165131,-203.35347175598145
73,18,1,531.7812659740448,-242.82946586608887
74,18,2,533.0750176906586,-299.2254638671875
75,18,3,559.7742118835449,-295.41232109069824
76,19,0,553.0029380321503,-200.45428276062012
77,19,1,535.6114840507507,-241.36842727661133
78,19,2,540.6999564170837,-298.6732006072998
79,19,3,568.2216346263885,-294.5245170593262
80,20,0,557.9449517726898,-196.96902751922607
81,20,1,542.0751135349274,-240.27153968811035
82,20,2,547.8180792331696,-296.9809627532959
83,20,3,574.4825885295868,-292.54663467407227
84,21,0,560.4050402641296,-193.89434337615967
85,21,1,546.101354598999,-237.25147247314453
86,21,2,557.2124047279358,-295.59210777282715
87,21,3,583.7984540462494,-290.7121181488037
88,22,0,562.847151517868,-188.6557388305664
89,22,1,550.6862103939056,-234.4233798980713
90,22,2,564.7403476238251,-294.2845344543457
91,22,3,590.701256275177,-286.84996604919434
92,23,0,566.6298365592957,-184.2926788330078
93,23,1,556.3189766407013,-233.04622650146484
94,23,2,573.5638704299927,-292.5337314605713
95,23,3,599.7681319713593,-283.6978054046631
96,24,0,568.8123443126678,-179.78516578674316
97,24,1,560.2606129646301,-230.3760051727295
98,24,2,578.8863008022308,-290.6831645965576
99,24,3,606.8719847202301,-280.00245094299316
100,25,0,570.8050754070282,-175.8125352859497
101,25,1,563.8492555618286,-226.9740915298462
102,25,2,586.3954539299011,-287.75951385498047
103,25,3,613.1027226448059,-276.6673278808594
104,26,0,573.454229593277,-172.19923496246338
105,26,1,566.0206925868988,-220.61588287353516
106,26,2,591.1833407878876,-285.32687187194824
107,26,3,618.4572479724884,-272.76795387268066
108,27,0,574.870521068573,-168.3985948562622
109,27,1,567.9499447345734,-213.66421222686768
110,27,2,600.1618537902832,-282.2760486602783
111,27,3,625.3151071071625,-268.7457847595215
112,28,0,576.1577725410461,-165.2979326248169
113,28,1,569.87934923172,-210.1992130279541
114,28,2,605.3599162101746,-279.8019218444824
115,28,3,629.7648797035217,-263.9744281768799
116,29,0,579.157838344574,-162.48609066009521
117,29,1,572.5689775943756,-207.2614860534668
118,29,2,611.6826224327087,-277.11570739746094
119,29,3,634.9819350242615,-260.4419803619385
120,30,0,581.1060326099396,-160.1956558227539
121,30,1,574.4840104579926,-204.01584148406982
122,30,2,615.460736989975,-273.6134147644043
123,30,3,639.0112738609314,-256.33764266967773
124,31,0,582.2817642688751,-158.32334518432617
125,31,1,575.9439754486084,-201.30628108978271
126,31,2,620.027158498764,-270.30455589294434
127,31,3,642.5569031238556,-252.43117332458496
128,32,0,583.5376825332642,-156.7970895767212
129,32,1,578.0732116699219,-200.29704093933105
130,32,2,624.6870718002319,-267.7543830871582
131,32,3,645.9393153190613,-248.80760192871094
132,33,0,585.0635132789612,-155.45469760894775
133,33,1,579.6378407478333,-198.41041088104248
134,33,2,628.0991413593292,-265.1840114593506
135,33,3,647.9330620765686,-246.80926322937012
136,34,0,585.5855641365051,-154.21155452728271
137,34,1,581.2572140693665,-197.2033166885376
138,34,2,630.3357839584351,-262.565975189209
139,34,3,650.1040420532227,-244.14424896240234
140,35,0,586.7057898044586,-153.3705997467041
141,35,1,583.1659498214722,-196.21135711669922
142,35,2,631.4959251880646,-261.4214515686035
143,35,3,651.2689061164856,-242.44394302368164
144,36,0,587.7848811149597,-152.8101396560669
145,36,1,584.8241214752197,-195.99117279052734
146,36,2,633.5895624160767,-260.56334495544434
147,36,3,652.7166831493378,-240.55106163024902
148,37,0,588.3268897533417,-153.08906078338623
149,37,1,585.2648684978485,-195.10079383850098
150,37,2,635.0373902320862,-260.40904998779297
151,37,3,653.2152721881866,-239.6094560623169
152,38,0,588.5795867443085,-153.0047607421875
153,38,1,585.4457581043243,-194.9436378479004
154,38,2,635.6684725284576,-260.1408290863037
155,38,3,653.8152244091034,-238.53564262390137
156,39,0,587.7953932285309,-153.36853981018066
157,39,1,585.4026432037354,-195.2704668045044
158,39,2,635.0636959075928,-260.62002182006836
159,39,3,652.5360474586487,-238.7325954437256
160,40,0,588.2190771102905,-153.81009578704834
161,40,1,585.5754582881927,-195.92597007751465
162,40,2,634.6577861309052,-261.1303997039795
163,40,3,653.2224833965302,-239.30936336517334
164,41,0,589.1595811843872,-154.7676944732666
165,41,1,586.3777306079865,-198.20607662200928
166,41,2,633.1343421936035,-262.08088874816895
167,41,3,652.5073041915894,-240.23234367370605
168,42,0,588.8660037517548,-157.5631284713745
169,42,1,585.4181320667267,-200.872163772583
170,42,2,631.4464116096497,-263.0298900604248
171,42,3,651.2908444404602,-241.4087677001953
172,43,0,588.4572501182556,-160.6003475189209
173,43,1,584.9454424381256,-203.1453037261963
174,43,2,628.8088867664337,-264.5292377471924
175,43,3,650.009991645813,-243.36236000061035
176,44,0,587.8911702632904,-162.78814315795898
177,44,1,583.5752112865448,-205.17574310302734
178,44,2,626.2708461284637,-267.9825496673584
179,44,3,647.8791811466217,-246.85884475708008
180,45,0,587.6555364131927,-166.01009845733643
181,45,1,582.399581193924,-208.1550693511963
182,45,2,622.4529175758362,-270.62195777893066
183,45,3,644.8630170822144,-250.55399894714355
184,46,0,586.1336159706116,-168.69737148284912
185,46,1,580.3084831237793,-210.88634490966797
186,46,2,616.7303667068481,-273.7203025817871
187,46,3,639.8579306602478,-255.14104843139648
188,47,0,584.0881719589233,-170.2974557876587
189,47,1,577.6690285205841,-211.87796115875244
190,47,2,610.6741704940796,-277.6618194580078
191,47,3,635.8422524929047,-258.5837173461914
192,48,0,580.7783288955688,-171.90331935882568
193,48,1,574.953399181366,-213.38238716125488
194,48,2,601.4308741092682,-282.12547302246094
195,48,3,629.2552199363708,-264.1519832611084
196,49,0,576.9056053161621,-173.22864532470703
197,49,1,572.2421879768372,-215.41664600372314
198,49,2,594.5928711891174,-285.5433940887451
199,49,3,623.5597364902496,-269.5729351043701
200,50,0,573.5260877609253,-174.51780796051025
201,50,1,567.4026038646698,-215.6306505203247
202,50,2,584.9572749137878,-289.5465087890625
203,50,3,615.4217863082886,-275.55562019348145
204,51,0,569.2662441730499,-175.1960563659668
205,51,1,562.5963842868805,-216.72632217407227
206,51,2,573.4460535049438,-292.5846862792969
207,51,3,606.0158822536469,-280.07057189941406
208,52,0,562.9210410118103,-175.85181713104248
209,52,1,558.868189573288,-217.5671911239624
210,52,2,565.5326664447784,-295.04313468933105
211,52,3,596.6193730831146,-284.6699523925781
212,53,0,558.182413816452,-175.67288875579834
213,53,1,554.4524416923523,-218.30831050872803
